"Количество ДТП с пострадавшими";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"2010";"";"";"";"";"";"";"";"";"";"";"";"2011";"";"";"";"";"";"";"";"";"";"";"2012";"";"";"";"";"";"";"";"";"";"";"";"2013";"";"";"";""
"";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь";"январь-июль";"январь-август";"январь-сентябрь";"январь-октябрь";"январь-ноябрь";"январь-декабрь";"январь-февраль";"январь-март";"январь-апрель";"январь-май";"январь-июнь"
"Псковская область";"73.0";"122.0";"186.0";"294.0";"438.0";"600.0";"813.0";"995.0";"1137.0";"1303.0";"1422.0";"1546.0";"88.0";"147.0";"203.0";"301.0";"649.0";"871.0";"1087.0";"1253.0";"1418.0";"1566.0";"1730.0";"117.0";"206.0";"299.0";"415.0";"569.0";"731.0";"940.0";"1117.0";"1288.0";"1439.0";"1543.0";"1635.0";"143.0";"214.0";"295.0";"410.0";"571.0"
"Северо-Кавказский фед. округ";"452.0";"816.0";"1229.0";"1732.0";"2321.0";"2866.0";"3618.0";"4225.0";"4877.0";"5602.0";"6276.0";"7034.0";"486.0";"904.0";"1310.0";"1826.0";"2938.0";"3577.0";"4236.0";"4936.0";"5635.0";"6247.0";"6989.0";"512.0";"888.0";"1356.0";"1870.0";"2448.0";"3088.0";"3674.0";"4400.0";"5104.0";"5826.0";"6545.0";"7201.0";"958.0";"1436.0";"1959.0";"2575.0";"3240.0"
"Ставропольский край";"175.0";"318.0";"468.0";"676.0";"912.0";"1125.0";"1367.0";"1641.0";"1899.0";"2172.0";"2440.0";"2762.0";"161.0";"313.0";"470.0";"692.0";"1099.0";"1347.0";"1614.0";"1912.0";"2182.0";"2402.0";"2751.0";"205.0";"348.0";"520.0";"738.0";"973.0";"1232.0";"1483.0";"1794.0";"2074.0";"2362.0";"2662.0";"2912.0";"357.0";"546.0";"766.0";"1023.0";"1290.0"
"Республика Ингушетия";"13.0";"17.0";"38.0";"57.0";"85.0";"110.0";"129.0";"146.0";"171.0";"185.0";"201.0";"218.0";"14.0";"29.0";"39.0";"54.0";"79.0";"92.0";"100.0";"127.0";"147.0";"169.0";"191.0";"25.0";"43.0";"55.0";"77.0";"90.0";"111.0";"120.0";"141.0";"165.0";"191.0";"214.0";"235.0";"37.0";"56.0";"75.0";"89.0";"109.0"
"Республика Дагестан";"108.0";"197.0";"300.0";"402.0";"540.0";"689.0";"911.0";"1005.0";"1172.0";"1350.0";"1517.0";"1690.0";"105.0";"196.0";"298.0";"419.0";"686.0";"843.0";"967.0";"1106.0";"1267.0";"1424.0";"1578.0";"128.0";"205.0";"298.0";"404.0";"522.0";"650.0";"771.0";"903.0";"1027.0";"1148.0";"1305.0";"1419.0";"214.0";"302.0";"382.0";"482.0";"629.0"
"Кабардино-Балкарская Респ.";"43.0";"80.0";"119.0";"165.0";"210.0";"254.0";"344.0";"408.0";"481.0";"561.0";"641.0";"733.0";"69.0";"114.0";"158.0";"210.0";"349.0";"420.0";"533.0";"616.0";"712.0";"775.0";"855.0";"52.0";"98.0";"171.0";"231.0";"299.0";"369.0";"437.0";"510.0";"582.0";"671.0";"753.0";"837.0";"105.0";"164.0";"235.0";"302.0";"376.0"
"Респ. Сев.Осетия - Алания";"34.0";"71.0";"112.0";"159.0";"222.0";"275.0";"343.0";"408.0";"456.0";"524.0";"583.0";"642.0";"55.0";"103.0";"133.0";"168.0";"274.0";"340.0";"398.0";"455.0";"509.0";"563.0";"615.0";"36.0";"80.0";"118.0";"158.0";"214.0";"292.0";"351.0";"442.0";"538.0";"612.0";"685.0";"769.0";"112.0";"176.0";"247.0";"334.0";"404.0"
"Карачаево-Черкесская Респ.";"59.0";"94.0";"133.0";"187.0";"234.0";"268.0";"336.0";"401.0";"441.0";"518.0";"571.0";"617.0";"54.0";"97.0";"131.0";"176.0";"275.0";"316.0";"363.0";"417.0";"472.0";"526.0";"574.0";"43.0";"70.0";"112.0";"152.0";"211.0";"258.0";"306.0";"369.0";"436.0";"511.0";"571.0";"642.0";"81.0";"121.0";"161.0";"217.0";"262.0"
"Чеченская Республика";"20.0";"39.0";"59.0";"86.0";"118.0";"145.0";"188.0";"216.0";"257.0";"292.0";"323.0";"372.0";"28.0";"52.0";"81.0";"107.0";"176.0";"219.0";"261.0";"303.0";"346.0";"388.0";"425.0";"23.0";"44.0";"82.0";"110.0";"139.0";"176.0";"206.0";"241.0";"282.0";"331.0";"355.0";"387.0";"52.0";"71.0";"93.0";"128.0";"170.0"
"Южный фед. округ";"1005.0";"1877.0";"2969.0";"4333.0";"5921.0";"7439.0";"9346.0";"11391.0";"13175.0";"15034.0";"16734.0";"18364.0";"1050.0";"1923.0";"2951.0";"4237.0";"7494.0";"9476.0";"11548.0";"13532.0";"15429.0";"16968.0";"18807.0";"1099.0";"1937.0";"2949.0";"4355.0";"6041.0";"7812.0";"9866.0";"11911.0";"13814.0";"15757.0";"17318.0";"18940.0";"1988.0";"3122.0";"4515.0";"6156.0";"7900.0"
"Краснодарский край";"413.0";"763.0";"1160.0";"1635.0";"2201.0";"2696.0";"3380.0";"4125.0";"4790.0";"5469.0";"6150.0";"6733.0";"432.0";"779.0";"1173.0";"1620.0";"2706.0";"3448.0";"4194.0";"4906.0";"5516.0";"6049.0";"6728.0";"384.0";"724.0";"1122.0";"1676.0";"2287.0";"2924.0";"3668.0";"4427.0";"5041.0";"5728.0";"6102.0";"6710.0";"771.0";"1188.0";"1712.0";"2265.0";"2907.0"
"Астраханская область";"69.0";"124.0";"207.0";"310.0";"436.0";"525.0";"638.0";"750.0";"877.0";"1012.0";"1124.0";"1233.0";"93.0";"160.0";"250.0";"353.0";"681.0";"863.0";"1031.0";"1225.0";"1422.0";"1560.0";"1704.0";"129.0";"216.0";"312.0";"439.0";"574.0";"722.0";"912.0";"1089.0";"1308.0";"1492.0";"1641.0";"1763.0";"217.0";"332.0";"467.0";"639.0";"801.0"
"Волгоградская область";"146.0";"281.0";"456.0";"653.0";"923.0";"1193.0";"1548.0";"1901.0";"2170.0";"2510.0";"2771.0";"3047.0";"174.0";"319.0";"451.0";"655.0";"1185.0";"1477.0";"1828.0";"2134.0";"2445.0";"2670.0";"2965.0";"163.0";"282.0";"412.0";"606.0";"902.0";"1176.0";"1476.0";"1786.0";"2106.0";"2449.0";"2771.0";"3052.0";"292.0";"447.0";"662.0";"959.0";"1232.0"
"Ростовская область";"326.0";"619.0";"995.0";"1515.0";"2057.0";"2632.0";"3289.0";"4020.0";"4657.0";"5260.0";"5817.0";"6381.0";"293.0";"567.0";"920.0";"1402.0";"2558.0";"3219.0";"3933.0";"4586.0";"5248.0";"5778.0";"6377.0";"334.0";"561.0";"891.0";"1326.0";"1865.0";"2474.0";"3171.0";"3857.0";"4493.0";"5103.0";"5691.0";"6183.0";"539.0";"910.0";"1350.0";"1871.0";"2429.0"
"Республика Адыгея";"27.0";"48.0";"83.0";"126.0";"180.0";"229.0";"287.0";"353.0";"403.0";"468.0";"518.0";"575.0";"36.0";"58.0";"88.0";"122.0";"216.0";"276.0";"325.0";"383.0";"434.0";"491.0";"556.0";"47.0";"74.0";"104.0";"146.0";"189.0";"239.0";"288.0";"332.0";"381.0";"424.0";"481.0";"540.0";"68.0";"107.0";"140.0";"176.0";"219.0"
"Республика Калмыкия";"24.0";"42.0";"68.0";"94.0";"124.0";"164.0";"204.0";"242.0";"278.0";"315.0";"354.0";"395.0";"22.0";"40.0";"69.0";"85.0";"148.0";"193.0";"237.0";"298.0";"364.0";"420.0";"477.0";"42.0";"80.0";"108.0";"162.0";"224.0";"277.0";"351.0";"420.0";"485.0";"561.0";"632.0";"692.0";"101.0";"138.0";"184.0";"246.0";"312.0"
"Приволжский фед.округ";"2284.0";"4296.0";"6341.0";"8678.0";"12155.0";"15917.0";"20219.0";"24491.0";"28599.0";"32840.0";"36863.0";"40414.0";"2251.0";"4175.0";"6365.0";"8489.0";"15504.0";"19886.0";"24428.0";"28720.0";"33141.0";"36780.0";"40315.0";"2312.0";"4583.0";"6845.0";"9506.0";"13088.0";"17066.0";"21565.0";"26095.0";"30434.0";"34586.0";"38149.0";"41710.0";"4471.0";"6754.0";"9390.0";"13132.0";"17610.0"
"Республика Башкортостан";"284.0";"548.0";"767.0";"1044.0";"1476.0";"1966.0";"2500.0";"3094.0";"3637.0";"4208.0";"4691.0";"5163.0";"265.0";"512.0";"786.0";"1064.0";"1950.0";"2511.0";"3049.0";"3640.0";"4275.0";"4737.0";"5160.0";"242.0";"520.0";"806.0";"1138.0";"1534.0";"2025.0";"2563.0";"3127.0";"3679.0";"4230.0";"4658.0";"5115.0";"497.0";"740.0";"1004.0";"1411.0";"1877.0"
